Số 323





	Khi đến nhà Karmis, Sirone kiểm tra lại trang phục rồi bước về phía cổng vòm của cổng chính.
	Và điều đó cũng xảy ra trước mặt Amy. Không, trước mặt bạn trai của Amy, Shirone.



	Điều khiến tôi khó chịu nhất là Shirone, Amy và Dante có vẻ rất thân thiết.



	'Đây là cách các thiên tài nói chuyện với nhau sao? Tôi thực sự thấy khó chịu khi thấy họ tụ tập lại với nhau như thế này.'



	Jockrey hít một hơi thật sâu và nói.



	“Này, Dante.”



	"Hả?"



	Dante cắn ống hút và quay lại nhìn, dường như đã hoàn toàn quên mất những gì mình vừa làm.



	"Nếu như ngươi đánh người, không phải nên xin lỗi sao? Hơn nữa còn là lão phù thủy."



	“Tiền bối? Anh là ai?”



	“Tôi là Jocreda, tốt nghiệp Học viện Ma thuật Ains. Tôi không ở vị trí mà tôi nghe mọi người nói về những triển vọng đầy hứa hẹn như bạn.”



	Dante chớp mắt trong khi đang mút ống hút.



	Dante im lặng càng lâu, Jocre càng cảm thấy bồn chồn.



	Tôi không có gì để nói ngay cả khi bạn hạ thấp anh ấy bằng cách gọi anh ấy là người có ý thức về quyền lợi, nhưng tôi có thể hình dung trong đầu anh ấy đang nghĩ gì.



	Tất nhiên, Học viện Phép thuật Ains là ngôi trường mà Jocrae yêu quý nhất, và anh không hề xấu hổ khi chọn chuyển đến đó.



	Nhưng Dante đã tốt nghiệp Trường Ma thuật Hoàng gia.



	Ngôi trường danh giá nhất vương quốc.



	Mặc dù hiện tại anh đang theo học tại Trường Phép thuật Alpheus để trả thù cho thất bại dưới tay Sirone, nhưng đây vẫn là một trong năm ngôi trường danh giá nhất.



	Trên hết, anh là đệ tử trực tiếp của Olivia, một pháp sư vĩ đại hạng hai được chứng nhận, nên không đời nào anh có thể lọt vào mắt cô ấy.



	“Xin lỗi. Tôi chưa từng nghe đến cái tên đó. Và anh là người lo lắng về cặp đôi vui vẻ đó?”



	"cái này……!"



	Một tia lửa lóe lên trong mắt Jockrey. Những từ "một cái tên xa lạ" đâm vào tim anh như một cái gai.



	Ngay cả Ludvans và Vivian, những người từng kỳ vọng vào cái tên này vì nó khá nổi tiếng ở giải đấu hạng dưới, cũng bắt đầu coi thường họ.



	“Dante, đừng hiểu lầm tôi. Cậu nghĩ mình là gì? Cậu chỉ là một học sinh. Và cậu đã bị Shirone đánh bại. Shirone là một thường dân. Amy, người được cả thế giới công nhận là thiên tài và tất cả, chỉ là một học sinh học lại.”



	“Tất cả đều được xếp thành một hàng.”



	Dante nói mà không hề thay đổi nét mặt.



	“Đó là sự khác biệt giữa bạn và chúng tôi. Chúng tôi được xuất bản trên các tạp chí học thuật, và bạn mua chúng và đọc chúng.”



	Ngược lại, khuôn mặt của Shirone lại nóng bừng.



	Nếu bạn thích giết người chỉ bằng một đòn, Dante sẽ không thương tiếc giẫm đạp lên điểm yếu của đối thủ.



	Có thể sẽ rất tuyệt nếu bạn là người tuyệt vời, nhưng lại là địa ngục đối với người nhận.



	Đúng như dự đoán, khuôn mặt của nhóm Jockrey trở nên méo mó, thậm chí còn có một chút sát khí trong mắt họ.



	Nếu anh ta có ý định khiêu khích thì có thể thành công, nhưng tôi lo lắng vì biết rằng điều đó sẽ không xảy ra.



	'Đệt! Đệt! Đệt!'



	Joker tức giận đến mức muốn chết. Tại sao anh ta lại phải bị đối xử như thế này?



	Theo lẽ thường, các vị trí phải đối lập nhau.



	Những người tốt nghiệp thành công thường khoe khoang, và nhìn họ bằng ánh mắt ghen tị, đố kỵ.



	'Ugh! Thật thảm hại! Bạn nghĩ một biển báo trường học có thể sống thay bạn sao?'



	Jokre trừng mắt nhìn Shirone và nhóm của hắn, tự hỏi làm sao hắn có thể chế ngự được họ.



	'Hả? Đó là… … .'



	Vào lúc đó, có thứ gì đó lấp lánh bên dưới áo khoác của Shirone. Khi nhìn kỹ hơn, tôi thấy đó là một bao kiếm.



	'Tại sao anh lại mang theo kiếm đến lễ hội? Không, anh là thường dân. Anh có được phép mang theo vũ khí không?'



	Joker suy nghĩ kỹ lý do. Sau đó, anh nhận ra điều gì đó và bật cười.



	“Ha ha ha ha! Ta hiểu rồi, đúng vậy. Cuối cùng thì ngươi cũng giống vậy thôi.”



	Khi tính cách của Jocrae đột nhiên thay đổi, Dante lùi lại như thể anh ta sợ hãi.



	Bất chấp điều đó, Jokre chỉ tay vào Sirone.



	"Ngươi tỏ ra kiêu ngạo như vậy, nhưng thực ra ngươi là một gã có cảm giác được hưởng quyền lợi. Tại sao một thường dân lại mang theo kiếm? Ờ, vì người yêu của ngươi là một quý tộc cấp cao nhất, có lẽ ngươi muốn ít nhất là đền bù cho điều đó."



	Vivian nhìn nó và tỏ vẻ ngạc nhiên.



	“Ồ, thật sao? Nhưng điều đó không phải là bất hợp pháp sao?”



	“Đương nhiên là phạm pháp! Người thường dân đeo kiếm ở đâu? Sao có thể nói lớn như vậy?”



	Jokre tiến đến gần Shirone và mở áo khoác của anh ta ra.



	Vì dù sao thì mang theo kiếm cũng là trọng tội đối với thường dân nên anh ta không ngần ngại mang theo một thanh kiếm.



	Chiếc áo khoác mở ra khi những chiếc cúc áo bị xé toạc, để lộ ra bao kiếm bạc của Armand ở thắt lưng.



	“Dự đoán của ta là đúng. Thật đáng thương. Ngươi cho rằng chỉ vì chuyện này mà có thể trở thành quý tộc sao?”



	Ánh mắt của Shirone trở nên lạnh lẽo.



	“Lùi lại. Và trả tiền cho chiếc áo khoác.”



	Shirone tuyệt vọng cố gắng kiểm soát cảm xúc của mình. Con quái vật bên trong cô, ngửi thấy mùi tức giận, sắp bùng nổ lần nữa.



	Nhưng Jockrey, người đã nắm bắt cơ hội, lại bận nói ra lời của mình.



	“Rõ ràng là rẻ tiền, xét theo sự thiếu trang trí và vẻ ngoài đơn giản. Ờ, anh lấy đâu ra một thanh kiếm đắt tiền cho một người như anh……”



	Jockrey với tay vào tay nắm cửa.



	Bản thân lưỡi kiếm sẽ rất xấu xí vì nó ngắn. Tôi rút nó ra và định nhân đôi sự sỉ nhục mà tôi đã phải chịu đựng cho đến giờ.



	Nhưng suy nghĩ đó chỉ dừng lại ở đó.



	Động tác của Joker dừng lại khi nghe thấy tiếng nước chảy. Sau đó, cả hai cánh tay từ từ giơ lên.



	Đồng tử của cô run lên vì sốc, da cô lạnh và tóc cô dựng đứng.



	“Đây, đây là….”



	Khuôn mặt của Ludvans và Vivian tràn đầy sự kinh ngạc. Thanh kiếm của Sirone đã tự động rút ra và đâm sâu vào cằm Jockrey.



	“Cái gì, cái gì vậy? Thanh kiếm này thế nào…….”



	Shirone có vẻ mặt đáng sợ.



	Không phải vì tôi tức giận với Jockrey. Nếu tôi kiềm chế cảm xúc lâu hơn một chút, cổ của Jockrey đã lăn trên băng rồi.



	'Tôi đã quá tự mãn.'



	Kiểm soát định mức là một tính năng tuyệt vời, nhưng vấn đề là sự đồng bộ hóa quá hoàn hảo đến mức nó ảnh hưởng đến hoạt động của máy trong giai đoạn đầu của độ sâu.



	Shirone là một pháp sư đã rèn luyện tâm trí của mình để không bao giờ mất bình tĩnh trong bất kỳ tình huống nào. Tuy nhiên, điều đó không có nghĩa là anh ấy không trải qua những thay đổi về mặt cảm xúc.



	Cơn giận dữ trào dâng trong giây lát đó khiến Armand phải rút kiếm ra khỏi vỏ.



	Sự thất vọng về bản thân khiến Shirone tức giận.



	Khi Armand run rẩy, cảm nhận được cơn giận dữ của chủ nhân, tiếng kiếm gầm vang vọng qua màng nhĩ của Jockrey.



	Joker trừng mắt nhìn Sirone và nghiến răng.



	"Bạn……!"



	“Đây là cảnh cáo cuối cùng của ngươi, mau quay về đi, nếu ngươi còn vô lễ thêm lần nữa, ta sẽ không tha thứ đâu.”



	Đôi chân của Jockrey, dường như yếu đi vì áp lực của cái chết, trượt qua trượt lại trên băng.



	Nếu cứ tiếp tục như thế này, anh ấy sẽ mất thăng bằng và ngã. Sau đó, Ludvans đã đến và đỡ Jokre từ phía sau.



	"Trở về đi, chúng ta là ma pháp sư chính thức, nếu nơi này xảy ra chuyện gì, người chịu khổ chính là chúng ta."



	Câu nói này có ý làm Jockrey vui lên, nhưng cũng thực tế đúng.



	“Hừ! Lũ trẻ láo xược! Để xem chúng mày làm tốt thế nào.”



	Joker vẫn tiếp tục nói những lời độc ác cho đến phút cuối.



	Nhưng nó chỉ có vẻ tồi tàn vì Rudbance đang kéo phần sau của cột và kéo lê nó theo.



	Chỉ sau khi Jockreys đã rời khỏi sân trượt băng hoàn toàn, Sirone mới tra Armand vào vỏ kiếm.



	“Này, dù anh có tức giận thế nào thì vung dao cũng vô ích thôi.”



	Mắt Sirone mở to khi nghe Dante nói.



	“Anh đùa à! Tất cả là lỗi của anh! Trong số tất cả mọi người, anh lại phải khiêu khích tôi như thế! Anh định làm gì với áo khoác của tôi? Anh sẽ phải trả giá!”



	“Giống như một cái nút áo vậy. Bạn có thể đeo lại. Nhân tiện, thanh kiếm bạn đang đeo là gì vậy? Đó cũng là phép thuật sao?”



	Amy nói và nhìn xung quanh.



	“Chúng ta đi thôi. Mọi người đang theo dõi. Đội bảo vệ có thể sẽ đến.”



	Cho đến bây giờ, họ vẫn nghĩ đó chỉ là sự trùng hợp ngẫu nhiên vì họ không biết Shirone là thường dân, nhưng nếu Cảnh sát biển được cử đến để điều tra, mọi chuyện sẽ trở nên phức tạp.



	“Vậy chúng ta đi quán cà phê uống cà phê nhé? Đương nhiên, vì tôi đã giúp anh, anh có thể mua.”



	"Sao anh lại mua cà phê cho em khi nó đẹp thế này? Và đó không phải là loại cà phê anh đang uống sao?"



	“Đây là cà phê đá. Vậy chúng ta đi uống thứ gì đó ấm nhé.”



	“Bạn có phải là…người nghiện cà phê không?”



	Dante nháy mắt, tay cầm cốc cà phê đá.



	“Không. Tôi là người nghiện cà phê.”





	* * *





	Shirone và nhóm của anh ấy vào một quán cà phê tên là 'Cozy Tea House' ở khu mua sắm.



	Khi hơi ấm lan tỏa, má cô ửng hồng.



	Shirone run rẩy như thể đang rũ bỏ luồng không khí lạnh bám trên quần áo, ngồi xuống bàn và lấy đồ nghề khâu vá ra.



	Dante nhận lấy thực đơn.



	“Khi đi du lịch, bạn phải gọi một món đặc sản địa phương. Để xem nào, Cà phê nóng của Nữ hoàng băng giá? Tên này có hơi lạ không?”



	Amy xua tay tỏ vẻ khó chịu.



	“Tôi sẽ bỏ qua những thứ kỳ lạ. Tôi chỉ uống nước cam thôi.”



	“Thật sao? Vậy thì tôi sẽ uống cà phê nóng của Nữ hoàng băng giá. Shirone, cô định uống gì?”



	Shirone nói, tập trung vào việc cài cúc áo.



	“Tôi thích ca cao ấm.”



	=======================================





Số 329





	Dante nói với vẻ mặt bối rối khi cảm nhận được hào quang của một người thợ thủ công trong đôi mắt của Sirone đang khâu vá.



	“Này, bạn có thực sự phải khâu ở đây không?”



	“Tôi chỉ mang theo chiếc áo khoác này. Và nếu tôi cố làm điều đó ở bên ngoài, tay tôi sẽ bị lạnh và sẽ rất khó khăn.”



	Shirone thổi hơi vào đôi bàn tay vẫn còn lạnh của mình rồi lại tập trung vào việc khâu vá.



	Dante, người đã gọi trà ở quầy, đưa Armand trở lại nơi Sirone đang dựa vào tường trên đường trở về.



	Shirone chỉ nhìn Armand. Thanh kiếm quỷ vốn rất kén chọn giờ im lặng như một con chuột.



	Như thể một người như Dante đủ tư cách để tự kiểm tra chính mình.



	Vì có người đang nhìn nên Dante cầm thẳng thanh kiếm mà không rút ra và kiểm tra bên ngoài.



	“Này, thì ra đây là vật thể loại S.”



	Tôi đã nghe một lời giải thích sơ bộ trên đường đến đây.



	Một thanh kiếm ma thuật được trang bị khái niệm kiểm soát định mức và vũ khí kim cương.



	Đây là vũ khí hoàn hảo không chỉ khuếch đại sức mạnh phép thuật mà còn có khả năng tối đa hóa khả năng tấn công vật lý.



	Dante ném Armand vào tường, nhưng Sirone đã dùng khả năng điều khiển bình thường của mình để đưa anh ta trở lại vị trí ban đầu.



	Dante tận mắt chứng kiến cảnh tượng đó, mỉm cười nói.



	“Đây là một vũ khí tốt. Xét đến độ hiếm của nó, thì việc nó có giá hơn 4 tỷ vàng là điều dễ hiểu.”



	Amy, người đang ngồi đối diện lò sưởi, sưởi ấm bên đống lửa, quay đầu lại và nói.



	“Anh có thể dễ dàng nói về 4 tỷ vàng? Vâng, gia tộc Erhein là một tập đoàn xếp hạng 20 trong bảng xếp hạng tài sản của vương quốc. Nhưng tại sao một thiếu gia của một gia tộc như vậy lại được uống cà phê?”



	“Ha ha! Cà phê do người khác pha ngon hơn. Cà phê do người khác mua cũng ngon hơn. Và nếu một thanh kiếm có giá 4 tỷ vàng, cha mẹ tôi sẽ há hốc mồm.”



	Shirone, người đã cài xong nút đầu tiên, vừa nói vừa gắn kim vào nút thứ hai.



	“Thật đáng tiếc. Nếu anh quan tâm, tôi định bán với giá khoảng 3 tỷ.”
