Số 248





	Sự im lặng bao trùm nơi cơn gió đã đi qua.
	Olivia thở dài một hơi, cô hiểu được một chút lời Alpheus nói. Thành thật mà nói, cô không muốn sống cuộc sống tính toán nữa.



	Một pháp sư bậc hai. Có gì phải sợ trong cuộc sống khi bạn đã đạt được mọi thứ bạn muốn đạt được?



	Tôi nghĩ cứ để cảm xúc trôi qua và thời gian trôi qua là ổn.



	"Để tôi dẫn cô đi tham quan thư viện nhé. Trước tiên, tôi uống chút trà nhé."



	Lần này, Alpheus tỏ vẻ ngạc nhiên. Vợ anh sống trong thư viện. Anh đã biết cô là một người phụ nữ ngốc nghếch, nhưng anh không biết cô sẽ lại đặt mọi thứ xuống.



	Olivia, người đã đọc được suy nghĩ của Alpheus, vẫy ngón tay.



	“Đừng hiểu lầm tôi. Điều đó không có nghĩa là tôi chấp nhận lời đề nghị.”



	“Nhưng tại sao lại là phía tây?”



	Olivia nhớ lại những sự kiện đã xảy ra từ lâu. Khoảnh khắc cô làm hỏng bức chân dung của Erina trước mặt Alpheus là một cơn ác mộng vẫn còn ám ảnh trong ký ức của cô.



	“Tôi có chuyện muốn xin lỗi Erina-san.”



	Cuối cùng, một nụ cười nở trên khuôn mặt Alpheus.



	“Tất nhiên rồi. Vậy chúng ta đi chứ?”



	Khi Alpheus rời đi trước, Olivia cũng nhìn những giáo viên khác, ho một tiếng rồi đi theo anh ta.



	Các giáo viên hoàn toàn kinh ngạc.



	Tôi không nghe rõ họ đang nói gì, nhưng giờ cuộc chiến đã kết thúc, tôi mong đợi một trong số họ sẽ thích thú với điều đó.



	Nhưng mỗi khi anh ấy bắt các đệ tử của mình chiến đấu đến chết, anh ấy chỉ đứng cạnh tôi rồi bỏ đi, khiến tôi vô cùng sửng sốt.



	Trong khi đó, Killain, người đang trên đà thành công nhờ cuộc phỏng vấn của Dante, đang tuyệt vọng. Có thể coi đó là sự ra đời của một ngôi sao mới, nhưng vấn đề là tương lai của chính anh ta.



	Cho đến bây giờ, Dante đã độc chiếm ngôi sao. Nhưng cuối cùng, anh ta đã biến mất và bây giờ đó là thế giới của Sirone.



	Cuộc cạnh tranh sẽ rất khốc liệt vì vô số phóng viên sẽ cố gắng bắt gặp Sirone trong tương lai.



	Ngoài ra, mục tiêu đầu tiên họ phải loại bỏ chính là bản thân họ.



	Đôi mắt Killain sáng lên khi anh lắc đầu. Lúc này, anh không còn lựa chọn nào khác ngoài việc tạo ra một cú hích lớn và đặt nền móng cho tương lai.



	Trong khi mọi người đang cố gắng bắt Shirone, anh ta sẽ cá cược chống lại cô và nhắm đến mục tiêu giành chiến thắng.



	Killline đi đến máy ghi hình, nhưng khi đến nơi, anh thấy máy ghi hình nằm trên sàn.



	Cô, người vẫn đang ngơ ngác theo dõi, hỏi với ánh mắt lạnh lùng.



	“Chuyện gì xảy ra vậy? Tại sao thứ này lại nằm xuống?”



	“Ồ, cái đó… Vòng tay đều bị hỏng rồi. Thiết bị ghi hình cũng được kết nối. Đó là để chúng ta có thể quay phim trận chiến. Và sau đó, vào lúc cuối, với một tiếng nổ, nó rơi xuống.”



	Người quản lý kho lưu trữ video nhún vai như thể đó là một hành động của Chúa.



	Killain định chửi rủa cô nhưng hít một hơi thật sâu để bình tĩnh lại.



	Obscura là một vật thể mỏng manh và có thể vỡ ngay cả khi có tác động nhẹ.



	“Hãy kiểm tra nhanh lên! Đó là Obscura. Không có nó, chúng ta không thể xuất bản bất cứ thứ gì.”



	“Ồ, tôi hiểu rồi.”



	Người lưu trữ video mở phần thân chính và nhìn vào bên trong.



	Sau khi suy nghĩ một lúc, anh quay đầu lại và thở phào nhẹ nhõm.



	“Không sao đâu. Obscura an toàn mà.”



	Nhịp tim của Killain cuối cùng đã trở lại bình thường.



	“Phù, nhẹ nhõm quá.”



	Shiina, người đã đưa học sinh trở về an toàn, đã đến gặp họ sau khi hoàn thành nhiệm vụ.



	“Có chuyện gì vậy? Có vấn đề gì không?”



	Người lưu trữ video bật cười.



	“Ahaha, cái đó thì….”



	Killain đột nhiên hét lên.



	“Chuyện này không thể xảy ra được!”



	Đó là một hành động gần giống như bản năng của một phóng viên.



	Khi kho lưu trữ video và Shiina nhìn lại với vẻ mặt bối rối, cô giả vờ tỏ vẻ buồn.



	“Bóng tối bị nứt. Bóng tối bị hỏng không thể phát lại hình ảnh. Cuối cùng, nó sẽ không thể chứa bất cứ thứ gì.”



	Shiina cũng thở dài tiếc nuối, trận đấu hôm nay trình độ cao như vậy, có thể dùng làm tài liệu giảng dạy cho rất nhiều học sinh.



	Việc phá hủy obscura, nơi diễn ra toàn bộ trận chiến giữa Sirone và Dante, không chỉ là sự tiếc nuối của cá nhân mà còn là mất mát của toàn bộ vương quốc.



	Nhưng mặt khác, tôi cũng cảm thấy may mắn.



	Tôi nghe nói Hiệu trưởng Alpheus đã ra lệnh cho Saad phá hủy hộp đen.



	Tất nhiên, những gì chứa trong obscura chỉ là một đoạn video đơn giản, nhưng vì sự việc đã đến mức này nên tốt hơn là nên trấn áp nó.



	“Ồ, tệ quá. Tôi xin lỗi.”



	Shiina rời đi, để lại những lời an ủi nửa thật nửa giả.



	Khi cô ấy bước đi, máy quay phim quay lại nhìn Killline như thể muốn hỏi chuyện gì đang xảy ra.



	Nhưng không có gì lọt vào mắt cô. Chỉ có một ý nghĩ tràn ngập trong đầu cô.



	Người đại diện tốt nhất cho hội giáo viên sẽ luôn là tôi.



	'Hoo hoo hoo! Múc, múc!'



	Sự thật được tiết lộ (1)





	Một tuần đã trôi qua kể từ cuộc đối đầu giữa Sirone và Dante.



	Olivia vẫn đang giữ chức hiệu trưởng tạm quyền và có tin đồn rằng bà sẽ trở lại làm phó hiệu trưởng bắt đầu từ học kỳ tới.



	Đây thực sự là tin gây sốc đối với các sinh viên.



	Olivia là một pháp sư bậc hai.



	Nếu tôi quay trở lại Học viện Ma thuật Hoàng gia, tôi không bao giờ có thể tưởng tượng được rằng mình sẽ được làm việc dưới quyền Alpheus.



	Nhưng nếu tin đồn là sự thật thì quả thực rất thú vị.



	Nếu Olivia, giáo viên giỏi nhất vương quốc, gia nhập trường, cùng với Alpheus, một nhân vật nổi tiếng, danh tiếng của trường sẽ tăng vọt.



	Có lẽ vì thế mà ngay cả trong thời điểm hỗn loạn khi chỉ còn một tháng nữa là kết thúc học kỳ, không khí học tập của sinh viên vẫn rất tốt.



	Olivia thường đi dạo với Alpheus.



	Mặc dù hai người vẫn có quan điểm khác nhau như lửa với nước, nhưng tôi chưa bao giờ thấy họ bất đồng quan điểm đến mức cãi vã lớn.



	Olivia luôn nóng tính và tức giận, nhưng mỗi khi Alpheus nói điều gì đó, cô ấy lại ngậm miệng lại như thể vừa bị dội một gáo nước lạnh vào vậy.



	Dựa trên thực tế đó, các giáo viên và học sinh đều cho rằng Olivia rõ ràng đã bộc lộ một số điểm yếu ở Alpheus.



	Hôm nay, Olivia dành thời gian thư giãn đi dạo quanh trường cùng Alpheus.



	Vì hầu hết chương trình giảng dạy đều được sửa đổi trong học kỳ nên những người duy nhất bận rộn là giáo viên.



	“Tôi sẽ trồng hoa hồng ở đây.”



	Olivia nói và dang rộng hai tay như thể đang đo chiều rộng của luống hoa.



	Các sinh viên đi ngang qua nhìn thấy cô và chào cô.



	“Xin chào, Hiệu trưởng Olivia!”



	Olivia chào đón họ bằng nụ cười ấm áp.



	“Được rồi, lớp học kết thúc chưa?”



	“Vâng. Tôi sẽ đến thư viện ngay bây giờ.”



	“Tôi hiểu rồi. Nhưng vì là thời gian thực tập nên tôi không cần phải đến sân tập sao?”



	“Ồ, hôm nay tôi có lớp thứ hai nghìn. Tôi đang cố gắng điều chỉnh tình trạng của mình. Trước đây tôi không biết, nhưng bây giờ lớp thứ hai nghìn đã được giới thiệu, có vẻ như rất khó khăn vì nó trùng với thời gian thực tập.”



	“Có thể là như vậy. Tôi sẽ nêu vấn đề này trong cuộc họp giáo viên.”



	“Hả? Thật sao? Cảm ơn anh!”



	Các học sinh chạy ùa vào thư viện, nhảy cẫng lên vì vui sướng.



	Phương pháp giảng dạy của Olivia là phản ứng nhanh chóng để tăng hiệu quả thay vì tuân theo một triết lý lớn lao.



	"Hiệu trưởng!"



	Sade từ xa chạy tới, vừa chạy vừa hét lớn. Nhìn biểu cảm của anh ta, có vẻ như đã xảy ra chuyện gì đó rất lớn.



	Tuy nhiên, Alpheus và Olivia, những người đã trải qua nhiều chuyện, không hề lo lắng trước.



	“Có chuyện gì thế, ông Sade?”



	Sade nuốt nước bọt, thở hổn hển, rồi rút tờ tạp chí đã giấu sau lưng ra.



	Đó là một tạp chí có tên là <Spirit> do hội giáo viên xuất bản.



	Olivia nhận ra tình hình quá muộn.



	Vâng, tôi đoán bạn có thể biết được mức độ cường điệu mà không cần nhìn vào, vì một học viên vô danh đã đánh bại Dante, người giỏi nhất vương quốc.



	=======================================





Số 257





	“Nghĩ lại thì hôm nay là ngày xuất bản. Tôi hy vọng câu chuyện về trường chúng ta cũng sẽ diễn ra tốt đẹp.”



	Olivia hỏi và đưa tờ tạp chí cho cô.



	Alpheus mỉm cười vui vẻ khi cụm từ “trường của chúng ta” thốt ra từ miệng cô bé.



	Nhưng bầu không khí tốt đẹp đó đã biến mất ngay khi tôi nhìn thấy bìa sách.



	Tiêu đề chứa thông tin gây sốc.





	Lightning! Phỏng vấn bố mẹ Shirone!



	Người học sinh đánh bại Dante là con trai của một người leo núi?





	Olivia nghiêng đầu.



	Thậm chí không phải là Shirone, mà là một cuộc phỏng vấn với phụ huynh. Và con trai của một người leo núi có nghĩa là gì?



	Mặc dù Killine có tính cách độc ác, cô ta không phải là người ngu ngốc đến mức đăng một bài viết vô lý và xuyên tạc như vậy.



	Một luồng mồ hôi lạnh chạy dọc sống lưng Alpheus.



	Đó là sự thật, không phải là một bài viết bị bóp méo.



	Hiện nay, có rất ít người ở trường biết về nguồn gốc của Shirone.



	Tất nhiên, nếu Killain quyết định truy tìm danh tính, việc đào bới nó lên sẽ rất dễ dàng. Với kỹ năng đưa tin của một phóng viên chuyên nghiệp, cha mẹ Shirone không thể cưỡng lại được.



	Olivia mở tạp chí và nhanh chóng đọc qua từng trang.



	Quá trình Sirone chế ngự Dante được mô tả chi tiết và thậm chí còn có cả hình ảnh.



	Tôi nghe nói rằng bức màn tối đã bị phá vỡ, nhưng rõ ràng đó là lời nói dối.



	Nhưng bài viết đó không sai.



	Có thể có sự bóp méo ở một mức độ nào đó, nhưng nếu một bài viết như thế này được viết như một sự bịa đặt thì chắc chắn đó sẽ là lý do để bác bỏ.



	'Có đúng không? Shirone là... ...con trai của một người leo núi?'



	Olivia nhìn lại Alpheus như thể đang yêu cầu một lời giải thích.



	Alpheus gật đầu với vẻ mặt cay đắng.



	“Đúng vậy. Shirone là con trai của một nhà leo núi. Tuy nhiên, cậu ấy được nhận vào thông qua một quá trình tuyển sinh đặc biệt theo đề xuất của gia tộc Ozent. Ngay cả các giáo viên cũng không biết. Ngay cả Sade cũng không biết.”



	Olivia bày tỏ sự hối tiếc.



	“Không quan trọng, tại sao anh lại giấu tôi? Ít nhất thì tôi, với tư cách là hiệu trưởng, cũng nên biết.”



	Alpheus cũng có những bất bình riêng của mình.



	Olivia hiểu rõ hơn ai hết rằng cô là người thận trọng và kín tiếng. Vấn đề là cô không biết rằng chuyện như thế này sẽ xảy ra.



	“Tôi giữ bí mật, thậm chí không nghĩ đến. Đã một năm trôi qua, và không ai tò mò về nguồn gốc của Shirone.”



	Trong khi Alpheus nói với vẻ mặt buồn bã, Olivia cũng ngừng phàn nàn và chìm vào suy nghĩ.



	Tính cách của Shirone chắc chắn là độc nhất. Khi bạn hòa hợp với anh ấy, đúng là bạn không thực sự quan tâm đến nguồn gốc của anh ấy.



	Nhưng ở những nơi đông người, chuyện gì cũng có thể xảy ra.



	“Dù sao thì, đừng ngây thơ mà mắc lừa. Cho dù Shirone có bao nhiêu đồng minh, thì vẫn luôn có những học sinh đố kỵ. Em phải luôn ghi nhớ điều đó. Nếu anh biết, ngay từ đầu đã không xảy ra chuyện này.”



	Lần này Alpheus cũng không có gì để nói.



	Ông rất giỏi trong việc hỗ trợ sinh viên, nhưng lại không có năng khiếu về chính trị.



	Olivia khoanh tay và suy nghĩ một lúc trước khi đưa ra quyết định.



	“Ông Sade.”



	“Vâng, thưa hiệu trưởng.”



	“Gọi ngay cho Killline. Bảo anh ta đến gặp tôi ngay khi nhận được tin nhắn. Bảo anh ta rằng nếu anh ta không đến trong vòng 24 giờ, tôi sẽ đích thân đến đón anh ta.”
